,e1,e2,intensity
RRAD<->XK,RRAD,XK,0.9954322152591994
DCC<->TSLP,DCC,TSLP,0.9857881077349114
APS<->NLN,APS,NLN,0.9843918217208458
EPO<->PTPA,EPO,PTPA,0.9830573797263087
DBT<->GAN,DBT,GAN,0.9828889103936962
CBP<->SMO,CBP,SMO,0.9767982525836035
BLM<->SDHD,BLM,SDHD,0.9749270212631393
HTA<->RRAD,HTA,RRAD,0.9748015030686615
ENV<->PTPA,ENV,PTPA,0.973992318840403
HCST<->TNR,HCST,TNR,0.9726307560622511
CTH<->CTSB,CTH,CTSB,0.9723657842738141
CLU<->PIR,CLU,PIR,0.9696165767353326
CTH<->HTA,CTH,HTA,0.9684080837261907
ARNTL<->CLU,ARNTL,CLU,0.9675413489626612
BLM<->MTRR,BLM,MTRR,0.9669276668511637
CRKL<->MSN,CRKL,MSN,0.9666511089652305
CBFB<->RORC,CBFB,RORC,0.9648288611506762
ENV<->EPO,ENV,EPO,0.964071647759572
GSR<->MPG,GSR,MPG,0.9632925759869275
ENV<->MAZ,ENV,MAZ,0.9605509106948368
FAP<->UCN,FAP,UCN,0.9589826304633792
GAN<->MPG,GAN,MPG,0.9542078818845872
CTSB<->GGH,CTSB,GGH,0.9535186556564275
CASK<->PGP,CASK,PGP,0.9531421536054878
GGH<->PREP,GGH,PREP,0.9529686209818694
CTH<->MPG,CTH,MPG,0.9518588724242416
CBP<->MPG,CBP,MPG,0.9511740148687775
MTRR<->SDHD,MTRR,SDHD,0.9505776479763458
MMD<->NPB,MMD,NPB,0.9503965274404294
ENV<->PREP,ENV,PREP,0.9502274868049239
HTA<->XK,HTA,XK,0.9502079349405462
CEBPD<->TRA,CEBPD,TRA,0.9498828651223861
GSR<->HUD,GSR,HUD,0.9495832077045107
FAP<->SKI,FAP,SKI,0.949242515374341
MPG<->PIR,MPG,PIR,0.9468292285459076
SAG<->TESMIN,SAG,TESMIN,0.9465604838612491
DIVA<->VCAN,DIVA,VCAN,0.9457649894198839
CASK<->NANOG,CASK,NANOG,0.9451953013518044
CTH<->RRAD,CTH,RRAD,0.9447553675851786
FAP<->MTRR,FAP,MTRR,0.9442148154421586
SKI<->UCN,SKI,UCN,0.943789244742711
CTSB<->HTA,CTSB,HTA,0.9428862462950145
EPO<->NANOG,EPO,NANOG,0.9410413698934085
BLM<->ISCU,BLM,ISCU,0.9399899304617918
PREP<->PTPA,PREP,PTPA,0.9388342180998313
ARNTL<->PIR,ARNTL,PIR,0.938021420512454
GAN<->PIR,GAN,PIR,0.9374923591256791
EPO<->PGP,EPO,PGP,0.9362151870952757
ISCU<->UCN,ISCU,UCN,0.9360127552891805
GTT<->PREP,GTT,PREP,0.9356522947456811
GDA<->TESMIN,GDA,TESMIN,0.9356502040523864
HUD<->PIR,HUD,PIR,0.9350989151499289
CLU<->SDHD,CLU,SDHD,0.9346907393820313
NMI<->RICTOR,NMI,RICTOR,0.9333225299229351
MENT<->XB,MENT,XB,0.9318680006565249
DBT<->PIR,DBT,PIR,0.9302900011149131
HUD<->MPG,HUD,MPG,0.9302581985747143
CBP<->GSR,CBP,GSR,0.9299350399953104
MPG<->SMO,MPG,SMO,0.9291573261536185
MENT<->MMD,MENT,MMD,0.9288895861098733
AURKB<->GSR,AURKB,GSR,0.9282755482996079
GDA<->MPG,GDA,MPG,0.927192031015661
DCC<->DIVA,DCC,DIVA,0.9269913831157816
ISCU<->SMO,ISCU,SMO,0.9268255838451329
MTRR<->UCN,MTRR,UCN,0.9266402399531779
ISCU<->SKI,ISCU,SKI,0.926630368603079
CTSB<->RRAD,CTSB,RRAD,0.9264004222086624
CEL<->SAG,CEL,SAG,0.9263287357292408
LCT<->NLN,LCT,NLN,0.9250069849250829
DIVA<->ENV,DIVA,ENV,0.9247529491610255
GSR<->SMO,GSR,SMO,0.9246219680658259
CTH<->XK,CTH,XK,0.924519317578777
NANOG<->PGP,NANOG,PGP,0.9240342051221961
HEXA<->RRAD,HEXA,RRAD,0.9231274555865365
HEX<->MMD,HEX,MMD,0.9214634614547408
HTA<->MPG,HTA,MPG,0.9213634680119164
HEXA<->XK,HEXA,XK,0.9211699197047418
DIVA<->GGH,DIVA,GGH,0.9205671649974422
CRK<->HRK,CRK,HRK,0.9201718613464067
APS<->NBN,APS,NBN,0.9195909923158324
GAN<->HUD,GAN,HUD,0.9191311373354173
AURKB<->CEL,AURKB,CEL,0.9179399260606442
APS<->LCT,APS,LCT,0.9178686363525822
EPO<->PREP,EPO,PREP,0.9177932339148724
PIR<->SMO,PIR,SMO,0.9175681958505554
DCC<->ENV,DCC,ENV,0.9171226399332484
MAZ<->PTPA,MAZ,PTPA,0.9167228633507668
PREP<->SHMT,PREP,SHMT,0.9161353209977596
GGH<->SMO,GGH,SMO,0.9158609280553627
BPI<->CTH,BPI,CTH,0.9155950229749096
NANOG<->NMI,NANOG,NMI,0.9154141604045222
BLM<->PREP,BLM,PREP,0.9153593013895192
AGL<->FGA,AGL,FGA,0.9152721781084574
MENT<->NPB,MENT,NPB,0.9148640115985767
ISCU<->MTRR,ISCU,MTRR,0.9147870588036148
FAP<->ISCU,FAP,ISCU,0.9145265644777211
MAZ<->PREP,MAZ,PREP,0.9140939569384152
DIVA<->PREP,DIVA,PREP,0.9134872606777972
CBP<->PIR,CBP,PIR,0.9134249989356331
CTSB<->HEXA,CTSB,HEXA,0.912662944257221
GDA<->HTA,GDA,HTA,0.9125862230492833
AGL<->MIA,AGL,MIA,0.9124772420163607
CTSB<->NBN,CTSB,NBN,0.91239413634731
ALK<->LCT,ALK,LCT,0.9118672771415446
CTH<->VCAN,CTH,VCAN,0.9112057682895229
CTSB<->DIVA,CTSB,DIVA,0.9111782784840348
CBP<->HTA,CBP,HTA,0.9105251439859826
DBT<->MPG,DBT,MPG,0.9102301211352382
CTSB<->XK,CTSB,XK,0.9101196798122843
FLT<->ORF,FLT,ORF,0.9100988745896519
RICTOR<->SYK,RICTOR,SYK,0.9095629389368189
NANOG<->PTPA,NANOG,PTPA,0.9087867301063648
CTH<->PIR,CTH,PIR,0.9085388986308469
BPI<->CTSB,BPI,CTSB,0.9084644013844136
CEBPD<->PGP,CEBPD,PGP,0.9081765278864846
CBP<->CTH,CBP,CTH,0.908138962111932
ALK<->TNR,ALK,TNR,0.9078101748493663
AHRR<->RORC,AHRR,RORC,0.9074469894830324
BLM<->FAP,BLM,FAP,0.9066914390510598
EPO<->SHMT,EPO,SHMT,0.9059592821929292
ISCU<->SDHD,ISCU,SDHD,0.9059321001299896
DIVA<->MAZ,DIVA,MAZ,0.9058310354525497
ALK<->APS,ALK,APS,0.9055807782573649
ARNTL<->CBP,ARNTL,CBP,0.9039846539910066
DCC<->MAZ,DCC,MAZ,0.9033833834651523
BLM<->CLU,BLM,CLU,0.9029904747736094
CTH<->SMO,CTH,SMO,0.9027434942133081
DBT<->HUD,DBT,HUD,0.9026346762928875
CBP<->GDA,CBP,GDA,0.9025118463963824
CLU<->DBT,CLU,DBT,0.9017346707120031
VCAN<->XK,VCAN,XK,0.9017341273047205
EPOR<->RELA,EPOR,RELA,0.9014637978962335
HEXA<->HTA,HEXA,HTA,0.9012462143271412
BLM<->SMO,BLM,SMO,0.9011631239424984
FADD<->MTOR,FADD,MTOR,0.9011293686408868
NCSTN<->TNR,NCSTN,TNR,0.9007791536121964
ABAT<->TEF,ABAT,TEF,0.9006849659067219
GDA<->GSR,GDA,GSR,0.9000860385747805
CTSB<->SMO,CTSB,SMO,0.8993762714657282
CSK<->FER,CSK,FER,0.8991264046230119
ATF<->LCT,ATF,LCT,0.8984857962736092
BPI<->SMO,BPI,SMO,0.8980564735246831
GSR<->PIR,GSR,PIR,0.8978672132819965
BPI<->DIVA,BPI,DIVA,0.8974690158265781
CTH<->GDA,CTH,GDA,0.8971777993153699
EGF<->GPCR,EGF,GPCR,0.8966939496703836
NBN<->NLN,NBN,NLN,0.8964149865356944
EBP<->EGFR,EBP,EGFR,0.8960946263819299
PRL<->VIT,PRL,VIT,0.8959226310916215
PDGFRB<->PTP,PDGFRB,PTP,0.8951662168287664
CTSB<->VCAN,CTSB,VCAN,0.8949095040533481
CBP<->ISCU,CBP,ISCU,0.8945804909995508
NFI<->TYR,NFI,TYR,0.894354804375816
BLM<->SHMT,BLM,SHMT,0.8940462086996558
ELL<->FKHR,ELL,FKHR,0.8936160397584028
BPI<->GGH,BPI,GGH,0.8934078715156569
CTH<->GAN,CTH,GAN,0.8928958326926815
CEL<->NBN,CEL,NBN,0.8927885301375232
CASK<->EPO,CASK,EPO,0.8926702957016357
CTH<->DIVA,CTH,DIVA,0.8924979333338159
PTP<->VCAN,PTP,VCAN,0.8918023190087395
AURKB<->MPG,AURKB,MPG,0.891752490381853
ARNTL<->SDHD,ARNTL,SDHD,0.8915592784175671
CTH<->GGH,CTH,GGH,0.8913305854861439
BLM<->SKI,BLM,SKI,0.8912933423604267
HEXA<->NBN,HEXA,NBN,0.8911384966379444
ISCU<->PIR,ISCU,PIR,0.891017484773745
ARNTL<->GAN,ARNTL,GAN,0.8908584517589373
GPCR<->PAM,GPCR,PAM,0.8908359046385137
GSA<->MVK,GSA,MVK,0.8904055976374182
BPI<->PIR,BPI,PIR,0.8902761332895055
FKHR<->TSLP,FKHR,TSLP,0.8900534515309946
FKHR<->GTT,FKHR,GTT,0.8897624154297857
PTPA<->SHMT,PTPA,SHMT,0.8896976403903234
BF<->DBP,BF,DBP,0.8889905686133097
DIVA<->XK,DIVA,XK,0.8889626064690831
APS<->CTH,APS,CTH,0.8887552115905657
GAN<->GSR,GAN,GSR,0.88844238720632
AURKB<->NLN,AURKB,NLN,0.8883868619793264
ARNTL<->HTA,ARNTL,HTA,0.8883628426026077
EMB<->TXN,EMB,TXN,0.888059968432915
EPO<->MTRR,EPO,MTRR,0.8876749377579856
CLU<->GAN,CLU,GAN,0.8872869828408263
RRAD<->VCAN,RRAD,VCAN,0.8871515240475343
CTH<->NBN,CTH,NBN,0.8865162482810918
FOV<->TNR,FOV,TNR,0.8860991019390945
AURKB<->BPI,AURKB,BPI,0.8860438619683072
FAP<->SHMT,FAP,SHMT,0.8855908055005165
AURKB<->GDA,AURKB,GDA,0.8850705216498692
ARNTL<->RRAD,ARNTL,RRAD,0.8849571555334742
ARNTL<->MPG,ARNTL,MPG,0.8836286901265111
CTSB<->MPG,CTSB,MPG,0.8835534277170118
CBP<->CTSB,CBP,CTSB,0.8835270808792215
BLM<->PIR,BLM,PIR,0.8832419480718897
BPI<->VCAN,BPI,VCAN,0.8828902746583148
CEL<->TESMIN,CEL,TESMIN,0.8827847289490034
GRN<->GTT,GRN,GTT,0.8825027328048266
NCA<->VIM,NCA,VIM,0.8821293214445388
BLM<->EPO,BLM,EPO,0.881755909124201
PIR<->SDHD,PIR,SDHD,0.8816538545980787
BLM<->UCN,BLM,UCN,0.881187467563403
ENV<->TSLP,ENV,TSLP,0.8803494245063206
BPI<->MPG,BPI,MPG,0.8794663213912661
MTRR<->SKI,MTRR,SKI,0.8787621920967237
TESMIN<->XB,TESMIN,XB,0.8786314095991595
GTT<->MAZ,GTT,MAZ,0.8783233844021326
BLM<->GGH,BLM,GGH,0.8773726231695029
ARNTL<->BLM,ARNTL,BLM,0.8767779518003125
MAZ<->XK,MAZ,XK,0.8764237437766574
APS<->AURKB,APS,AURKB,0.8763904787676268
GGH<->GTT,GGH,GTT,0.8763779942121268
DIVA<->RRAD,DIVA,RRAD,0.8762616269917224
NMI<->SYK,NMI,SYK,0.8759143944228436
EPO<->SDHD,EPO,SDHD,0.8758468694033459
FOV<->HCST,FOV,HCST,0.875488618913896
BLM<->ENV,BLM,ENV,0.8749104451703033
PKM<->RORC,PKM,RORC,0.8746539790603435
CEL<->LCT,CEL,LCT,0.8741908681915829
GTT<->PTPA,GTT,PTPA,0.87374451092663
ENV<->SDHD,ENV,SDHD,0.8734040702958283
MTRR<->SHMT,MTRR,SHMT,0.8733417459478456
HBM<->TRO,HBM,TRO,0.8732277753647312
ARNTL<->DBT,ARNTL,DBT,0.8730760467288312
LYN<->MTP,LYN,MTP,0.8729696350942686
MSN<->SDHD,MSN,SDHD,0.8728974882828602
CTH<->NLN,CTH,NLN,0.8720041498511483
GAG<->LYN,GAG,LYN,0.8716485370046327
SHMT<->SKI,SHMT,SKI,0.8715752771328247
FADD<->MTP,FADD,MTP,0.8711593298194787
GRN<->TXN,GRN,TXN,0.8710515703155148
MMD<->XB,MMD,XB,0.870763984718915
CPE<->PPL,CPE,PPL,0.8706403522393993
ARNTL<->CTH,ARNTL,CTH,0.8706236013752826
CLU<->MPG,CLU,MPG,0.8698188366457671
EPO<->MAZ,EPO,MAZ,0.869800223478461
BPI<->NLN,BPI,NLN,0.869441681990172
LCT<->NBN,LCT,NBN,0.8692786760488149
MIP<->PROC,MIP,PROC,0.8692251987610298
CTH<->HEXA,CTH,HEXA,0.8689133585438675
ENV<->GTT,ENV,GTT,0.8689120022128439
GAN<->HTA,GAN,HTA,0.8687891710375133
MALL<->XB,MALL,XB,0.8687707139210199
EGF<->PAM,EGF,PAM,0.868670440634396
ARNTL<->XK,ARNTL,XK,0.8685705621984684
KL<->VEGF,KL,VEGF,0.8683852181806829
FOV<->NCSTN,FOV,NCSTN,0.8677790362515712
PGP<->PTPA,PGP,PTPA,0.8672097873295879
CBP<->GGH,CBP,GGH,0.8670123737828062
AURKB<->HUD,AURKB,HUD,0.8659699278794503
AURKB<->SMO,AURKB,SMO,0.8655453554996605
ALK<->NBN,ALK,NBN,0.8648523737755369
CASK<->CEBPD,CASK,CEBPD,0.8646753333785642
CBP<->CLU,CBP,CLU,0.8643013701530182
DCC<->PREP,DCC,PREP,0.8640840573243028
PALM<->POLE,PALM,POLE,0.8636464970178752
CTSB<->PREP,CTSB,PREP,0.8636119980087563
APS<->GDA,APS,GDA,0.8636081321631077
BLM<->PTPA,BLM,PTPA,0.8635854266787122
HTA<->SMO,HTA,SMO,0.8632839748935593
CTH<->GSR,CTH,GSR,0.8632028460732692
AURKB<->LCT,AURKB,LCT,0.8628505336169444
SHB<->TCRG,SHB,TCRG,0.8628108382972614
DCC<->GTT,DCC,GTT,0.8625499179345895
CTH<->DBT,CTH,DBT,0.862432601525854
BLM<->CBP,BLM,CBP,0.8618962539267623
CLU<->DIVA,CLU,DIVA,0.8616084227339427
MAZ<->TSLP,MAZ,TSLP,0.8615878512874586
MTRR<->PGP,MTRR,PGP,0.8615188738838008
GGH<->SHMT,GGH,SHMT,0.8614751409907726
CTSB<->GDA,CTSB,GDA,0.8607076531740776
ARNTL<->SMO,ARNTL,SMO,0.8606922727208284
CLU<->MTRR,CLU,MTRR,0.860523354189415
PREP<->SDHD,PREP,SDHD,0.8603654747215946
DCC<->FKHR,DCC,FKHR,0.8602222391812646
ENV<->GGH,ENV,GGH,0.8595983855301389
RICTOR<->UCN,RICTOR,UCN,0.859561729016689
CLU<->SMO,CLU,SMO,0.8594442509356702
DIVA<->TSLP,DIVA,TSLP,0.8593459639610244
HUD<->SMO,HUD,SMO,0.8592033658905084
BPI<->HUD,BPI,HUD,0.8588717280039587
CEL<->GDA,CEL,GDA,0.858682251489466
MSN<->PTPA,MSN,PTPA,0.8584660626561209
CBP<->GAN,CBP,GAN,0.8582923292976464
CLU<->ISCU,CLU,ISCU,0.8579964083039949
GTT<->TSLP,GTT,TSLP,0.8575153664795288
APS<->MPG,APS,MPG,0.857510210273075
ENV<->PGP,ENV,PGP,0.8573438929787882
CASK<->NMI,CASK,NMI,0.8573237069682632
MTRR<->PREP,MTRR,PREP,0.8572639041265095
CLU<->CTH,CLU,CTH,0.8570629138165567
LBR<->TPO,LBR,TPO,0.857008678893822
FADD<->XIAP,FADD,XIAP,0.8567550796387972
FAP<->SMO,FAP,SMO,0.8564685992383927
PTPA<->SDHD,PTPA,SDHD,0.8559511302052948
CASK<->TRA,CASK,TRA,0.8555837955340918
GDA<->SMO,GDA,SMO,0.8554234305080548
DCC<->VCAN,DCC,VCAN,0.8548695090544851
MPG<->RRAD,MPG,RRAD,0.854756774715341
GSR<->ISCU,GSR,ISCU,0.8546565363362368
HTA<->PIR,HTA,PIR,0.8544823901416916
GSA<->SELL,GSA,SELL,0.8538214630124157
MAZ<->RRAD,MAZ,RRAD,0.8531683838268628
ATF<->NLN,ATF,NLN,0.853001768923308
ENV<->MTRR,ENV,MTRR,0.8518306454981663
NANOG<->TRA,NANOG,TRA,0.8517688921568891
ALK<->TESMIN,ALK,TESMIN,0.8510432978170399
DCC<->PTPA,DCC,PTPA,0.8506565026616556
GGH<->HTA,GGH,HTA,0.8506360534687686
MTRR<->PIR,MTRR,PIR,0.8503924841262784
AURKB<->CTH,AURKB,CTH,0.8498235920968354
DIVA<->PIR,DIVA,PIR,0.8496546492861554
SDHD<->UCN,SDHD,UCN,0.8496056494130019
GSA<->PEMT,GSA,PEMT,0.8489859539279296
PAM<->TEC,PAM,TEC,0.8489587473034348
ALK<->NLN,ALK,NLN,0.8486909448776153
MVK<->SST,MVK,SST,0.8484961409782765
ENV<->NANOG,ENV,NANOG,0.8484818301943841
ALB<->UBC,ALB,UBC,0.8481617043602764
AHRR<->CBFB,AHRR,CBFB,0.8476474260506042
CEBPD<->EPO,CEBPD,EPO,0.8476133119542002
ARNTL<->MAZ,ARNTL,MAZ,0.8472796263310761
NBN<->VCAN,NBN,VCAN,0.8470796963528905
CLU<->MAZ,CLU,MAZ,0.8469081648803016
MTRR<->SMO,MTRR,SMO,0.8465509320471152
CRK<->SHMT,CRK,SHMT,0.8462396357664039
CBP<->HUD,CBP,HUD,0.8458178691988649
DCC<->ELL,DCC,ELL,0.8456656789212619
BAK<->JUN,BAK,JUN,0.8450704261245588
MTOR<->MTP,MTOR,MTP,0.8437798073563267
MPG<->NLN,MPG,NLN,0.8432975815087095
BPI<->GSR,BPI,GSR,0.8431479945849962
NLN<->VCAN,NLN,VCAN,0.8430237661117298
ENV<->SHMT,ENV,SHMT,0.8428314286881391
ELL<->TSLP,ELL,TSLP,0.84218220138234
CLU<->HUD,CLU,HUD,0.8419701188447795
CEBPD<->NANOG,CEBPD,NANOG,0.8416719230281369
GGH<->RRAD,GGH,RRAD,0.8411960551864783
HUD<->ISCU,HUD,ISCU,0.8403950109752333
ARNT<->CRKL,ARNT,CRKL,0.8403506138626956
CTSB<->PIR,CTSB,PIR,0.8400691650576425
MNT<->MTP,MNT,MTP,0.8396506603625467
MTRR<->RICTOR,MTRR,RICTOR,0.839562474736823
EPOR<->VEGF,EPOR,VEGF,0.8394134173631074
FAP<->SDHD,FAP,SDHD,0.8392631233871797
ATF<->NCSTN,ATF,NCSTN,0.8384484400699665
HTA<->VCAN,HTA,VCAN,0.8383999622501468
PREP<->SMO,PREP,SMO,0.8380190066588281
GDA<->SAG,GDA,SAG,0.8379531417991942
CRKL<->SDHD,CRKL,SDHD,0.8379175042368541
HTA<->NBN,HTA,NBN,0.8375876306088024
CASK<->SHMT,CASK,SHMT,0.8375813065541636
FGA<->HEXA,FGA,HEXA,0.8375081667879403
HAT<->PBR,HAT,PBR,0.8374190133294863
GAN<->GDA,GAN,GDA,0.8370279066085117
ALK<->NCSTN,ALK,NCSTN,0.8364345465915916
PGP<->TRA,PGP,TRA,0.8363989505044013
CBP<->RRAD,CBP,RRAD,0.8363772318682656
DBT<->GSR,DBT,GSR,0.8363539717218453
DIVA<->PTPA,DIVA,PTPA,0.8354826180250854
BLM<->DIVA,BLM,DIVA,0.8352597799531459
PGP<->SHMT,PGP,SHMT,0.8351551022660576
NANOG<->SHMT,NANOG,SHMT,0.8350490215640818
DIVA<->EPO,DIVA,EPO,0.8349382095113669
BLM<->MSN,BLM,MSN,0.8348963781600587
ARNTL<->CRKL,ARNTL,CRKL,0.8348740174364819
CPE<->TXNIP,CPE,TXNIP,0.8346300136965699
PTPA<->TSLP,PTPA,TSLP,0.8335142228979759
APS<->CTSB,APS,CTSB,0.8325722401059108
MTRR<->PTPA,MTRR,PTPA,0.8325290785020796
LBR<->NGF,LBR,NGF,0.8320674221416823
ARNTL<->ISCU,ARNTL,ISCU,0.8320094824673935
SKI<->SMO,SKI,SMO,0.8319371705774002
GDA<->NBN,GDA,NBN,0.8316361687402899
CTH<->HUD,CTH,HUD,0.831632053805176
BAK<->BAX,BAK,BAX,0.8315584075242223
PBR<->VIP,PBR,VIP,0.8315520078765236
CASK<->PTPA,CASK,PTPA,0.8314627763980317
CLU<->ENV,CLU,ENV,0.831200927801106
GSA<->SST,GSA,SST,0.8311019908606235
CLU<->RRAD,CLU,RRAD,0.830821737198502
SDHD<->SMO,SDHD,SMO,0.8306847011681869
GAN<->RRAD,GAN,RRAD,0.8306690134816636
BPI<->NBN,BPI,NBN,0.8306090191853567
BPI<->CBP,BPI,CBP,0.8304365595688897
APS<->CEL,APS,CEL,0.8304172589538524
MAZ<->SDHD,MAZ,SDHD,0.8301675574040269
GTT<->TXN,GTT,TXN,0.8301002886502508
AURKB<->CBP,AURKB,CBP,0.8300939267430136
HEXA<->VCAN,HEXA,VCAN,0.829425766411086
HLF<->MYC,HLF,MYC,0.8292471337842197
GGH<->MTRR,GGH,MTRR,0.828678821574998
GGH<->XK,GGH,XK,0.828605913394175
NLN<->PTP,NLN,PTP,0.8285452957976945
AURKB<->NBN,AURKB,NBN,0.8285312199530839
PIR<->RRAD,PIR,RRAD,0.8281537844797873
SDHD<->SKI,SDHD,SKI,0.8275723040521497
DIVA<->HTA,DIVA,HTA,0.8275094842778752
DCC<->EPO,DCC,EPO,0.8270482897652435
HEX<->NPB,HEX,NPB,0.826988537289498
APS<->BPI,APS,BPI,0.8269431113344617
GDA<->XB,GDA,XB,0.8263677426637039
APS<->VCAN,APS,VCAN,0.8262614513531088
AURKB<->TESMIN,AURKB,TESMIN,0.8258162854771551
APS<->HTA,APS,HTA,0.8253225576104429
CNST<->ZA,CNST,ZA,0.8251647630752965
INA<->NPB,INA,NPB,0.8251230392237177
EPO<->TRA,EPO,TRA,0.824940308234047
CLU<->HTA,CLU,HTA,0.8248443950226232
