,e1,e2,intensity
CCK<->MUT,CCK,MUT,0.9968946868392596
GAG<->SSB,GAG,SSB,0.9852150243647785
APP<->MUT,APP,MUT,0.9850216052459649
APP<->CCK,APP,CCK,0.9818162532865172
NET<->TAT,NET,TAT,0.9716074682651058
SST<->VIT,SST,VIT,0.9703812281581818
EED<->MLL,EED,MLL,0.9684975027250439
EED<->OAT,EED,OAT,0.9680082960221388
MLL<->OAT,MLL,OAT,0.9660187521637873
APP<->RICTOR,APP,RICTOR,0.9655959930766755
CCK<->RICTOR,CCK,RICTOR,0.9645394188991319
HTERT<->SSB,HTERT,SSB,0.9644886802254097
MUT<->RICTOR,MUT,RICTOR,0.9616631203071593
NGF<->XIAP,NGF,XIAP,0.9591583933906803
CHP<->SNRNP,CHP,SNRNP,0.9591140114037566
PML<->SNRNP,PML,SNRNP,0.9575345902304042
MTR<->PK,MTR,PK,0.9563605614118956
CHP<->PML,CHP,PML,0.9535236336192561
SKI<->SRI,SKI,SRI,0.9501181918248282
KIZ<->LAR,KIZ,LAR,0.9492563070337563
CAT<->MTP,CAT,MTP,0.943160062150579
MIP<->NANOG,MIP,NANOG,0.9421757527981142
POLI<->SKI,POLI,SKI,0.9417384426923057
MTF<->POLI,MTF,POLI,0.9410261598427344
BF<->SST,BF,SST,0.9401865149259564
GAG<->OAT,GAG,OAT,0.9397897336246928
ELL<->PAP,ELL,PAP,0.9381387077495202
MAPT<->NUMB,MAPT,NUMB,0.9380766693396003
LRP<->OAT,LRP,OAT,0.9343493600126025
GAG<->HTERT,GAG,HTERT,0.9326108129825226
APP<->MUCIN,APP,MUCIN,0.930003899969484
BF<->VIT,BF,VIT,0.9298883277551381
CLSPN<->MUT,CLSPN,MUT,0.9266287551973778
CLSPN<->RICTOR,CLSPN,RICTOR,0.9259864134860226
PTER<->VIT,PTER,VIT,0.9256504588457027
HK<->JUN,HK,JUN,0.9237164409270925
LAR<->POLI,LAR,POLI,0.9235483371904175
HTERT<->NUMB,HTERT,NUMB,0.9218047810638258
CCK<->CLSPN,CCK,CLSPN,0.9203002827132923
ER<->XIAP,ER,XIAP,0.9190366694501808
TNF<->VEGFB,TNF,VEGFB,0.9187555583086636
PRO<->VEGF,PRO,VEGF,0.9185221982547085
ERAS<->MENT,ERAS,MENT,0.9169305953979704
LRP<->MAPT,LRP,MAPT,0.9168685768393502
GRAF<->LAT,GRAF,LAT,0.9153351094929545
CCK<->MUCIN,CCK,MUCIN,0.9145031536335436
HAT<->NGF,HAT,NGF,0.9118001558342564
MUCIN<->MUT,MUCIN,MUT,0.9115793527232748
ACT<->PRO,ACT,PRO,0.911068070018375
PML<->SSB,PML,SSB,0.9109693921928488
LAR<->SRI,LAR,SRI,0.9107087470720368
EGF<->MIP,EGF,MIP,0.9098561772007456
GAG<->LRP,GAG,LRP,0.9055706085989533
LRP<->NUMB,LRP,NUMB,0.9030375228640988
OSM<->XG,OSM,XG,0.9030128338797011
FTF<->HGF,FTF,HGF,0.9022604835931667
CHM<->NGF,CHM,NGF,0.9017809700657671
CHP<->SSB,CHP,SSB,0.9009140002786178
GRAF<->SRI,GRAF,SRI,0.8979223801645976
HAT<->POL,HAT,POL,0.8977361997547533
MYC<->OSM,MYC,OSM,0.8969414264500041
GGT<->MENT,GGT,MENT,0.8963534288745695
CAST<->SON,CAST,SON,0.8955656530857858
CHP<->GAG,CHP,GAG,0.8932736712381991
MHC<->VEGF,MHC,VEGF,0.8932525113725658
EGF<->NANOG,EGF,NANOG,0.8923275905259314
BCR<->TEC,BCR,TEC,0.8907341192845124
RICTOR<->SSB,RICTOR,SSB,0.8899953339249685
GFAP<->IGH,GFAP,IGH,0.8895053891804942
CAST<->MTP,CAST,MTP,0.8891885568604774
LAR<->SKI,LAR,SKI,0.8880566922023192
ARC<->SON,ARC,SON,0.8868165503822345
APP<->CLSPN,APP,CLSPN,0.8867395289059912
LAT<->MUT,LAT,MUT,0.884961426128193
BID<->KIN,BID,KIN,0.8845759344590859
OAT<->SSB,OAT,SSB,0.8845044796519524
GFAP<->SYT,GFAP,SYT,0.8820111459927578
SNRNP<->SSB,SNRNP,SSB,0.8809621641515168
MUCIN<->RICTOR,MUCIN,RICTOR,0.87932581008677
HTERT<->MAPT,HTERT,MAPT,0.8786577124577541
CP<->ZA,CP,ZA,0.8781618272368885
CCK<->LAT,CCK,LAT,0.8775208087726787
NODAL<->SON,NODAL,SON,0.8769546266396392
BLM<->PRL,BLM,PRL,0.8764461896197022
ESD<->VIT,ESD,VIT,0.8763064397206907
POL<->VEGFB,POL,VEGFB,0.8760518676191771
CISH<->SCFV,CISH,SCFV,0.8759010075188823
HAT<->OSM,HAT,OSM,0.8756027479188152
PRL<->SST,PRL,SST,0.8748836501319897
MAPT<->SSB,MAPT,SSB,0.8735085143438156
LRP<->MLL,LRP,MLL,0.8734860241462475
CHM<->TNF,CHM,TNF,0.8733212063056212
CHM<->XIAP,CHM,XIAP,0.871878452015432
MUCIN<->SNRNP,MUCIN,SNRNP,0.8716723020196252
PC<->XG,PC,XG,0.8713414747846074
NUMB<->SSB,NUMB,SSB,0.8699302241340306
RICTOR<->SNRNP,RICTOR,SNRNP,0.8694656675396373
GAG<->RICTOR,GAG,RICTOR,0.8685215323240401
TERT<->TYR,TERT,TYR,0.8683865615368929
APP<->SNRNP,APP,SNRNP,0.868045262433094
BCOR<->MB,BCOR,MB,0.8663867976257281
