,e1,e2,intensity
PTEN<->RELA,PTEN,RELA,0.9918754887318665
NRF<->REN,NRF,REN,0.9879747221711968
GTT<->PC,GTT,PC,0.9872354841143322
ERG<->RIG,ERG,RIG,0.9869060108860666
RELA<->RIG,RELA,RIG,0.9861151245642298
LPO<->PTH,LPO,PTH,0.9849388174538422
COIL<->SCT,COIL,SCT,0.984725211985734
RIG<->SI,RIG,SI,0.9831740975170302
ERG<->PTEN,ERG,PTEN,0.9814958280407428
KERATIN<->PILOT,KERATIN,PILOT,0.9799601200492756
PTEN<->RIG,PTEN,RIG,0.978949687344051
ERG<->SI,ERG,SI,0.9781196647935596
EBP<->PTH,EBP,PTH,0.9766203829968305
ET<->HLA,ET,HLA,0.9746194389894336
DDC<->SA,DDC,SA,0.9720987196017203
ERG<->RELA,ERG,RELA,0.9711809527385226
EBP<->LPO,EBP,LPO,0.9680604952035723
PROC<->TYR,PROC,TYR,0.9653249280960401
SA<->TFAM,SA,TFAM,0.9636447895733125
PC<->ZA,PC,ZA,0.9617560799414387
PDF<->SI,PDF,SI,0.9597740446397548
AR<->PILOT,AR,PILOT,0.9540184620254583
GAL<->RHO,GAL,RHO,0.9529158080120763
KIT<->LAT,KIT,LAT,0.9522542273288398
CEL<->MAX,CEL,MAX,0.9520905743380489
ER<->PRO,ER,PRO,0.9507236191656221
RELA<->SI,RELA,SI,0.9485840321810929
MAF<->PTER,MAF,PTER,0.946244744947881
PDF<->RIG,PDF,RIG,0.9449015607664353
NRF<->TYR,NRF,TYR,0.9438182971067719
CREM<->PDF,CREM,PDF,0.9419861400363859
PTEN<->SI,PTEN,SI,0.9403089636666689
BLM<->RHO,BLM,RHO,0.9392337062090131
GTT<->ZA,GTT,ZA,0.9386133033295965
AR<->KERATIN,AR,KERATIN,0.9385146114630317
MUT<->PTER,MUT,PTER,0.936688463363454
MAF<->MUT,MAF,MUT,0.9354928789294994
REN<->TYR,REN,TYR,0.9341433034213574
ABO<->STAR,ABO,STAR,0.9309388183432186
FH<->RAN,FH,RAN,0.9308838523898121
CF<->ERG,CF,ERG,0.9297259028979128
BAD<->MET,BAD,MET,0.9252802829439446
DDC<->TFAM,DDC,TFAM,0.9248613477321979
CREM<->SI,CREM,SI,0.9247044929460745
LPO<->REN,LPO,REN,0.9235853964283671
EGF<->TFAM,EGF,TFAM,0.9228609818891271
CF<->POLI,CF,POLI,0.9211528068317889
AFM<->MYC,AFM,MYC,0.9170842464454554
CF<->SI,CF,SI,0.9166294999213009
ADO<->ER,ADO,ER,0.9161073997801985
CP<->MVD,CP,MVD,0.9158467977520275
KIT<->NET,KIT,NET,0.9154582218189751
AE<->MAX,AE,MAX,0.9153436180989467
GTT<->LDLR,GTT,LDLR,0.9151517113908403
LPO<->NRF,LPO,NRF,0.9151258642866841
CEL<->NET,CEL,NET,0.9148277308562088
EGF<->SA,EGF,SA,0.9121389887300604
ACT<->PRO,ACT,PRO,0.9092928365686264
