,e1,e2,intensity
GCA<->SCT,GCA,SCT,0.9948964412555864
HCR<->NANOG,HCR,NANOG,0.9931614665420807
GCA<->PURG,GCA,PURG,0.9877557088065643
HTERT<->SPOP,HTERT,SPOP,0.9868619758130246
CROP<->PRL,CROP,PRL,0.9863456145191054
KY<->POLI,KY,POLI,0.9848434436495359
CROP<->MYB,CROP,MYB,0.9844245507382758
IGH<->NANOG,IGH,NANOG,0.9835441760681165
HEEL<->MYB,HEEL,MYB,0.9777929821330532
PURG<->SCT,PURG,SCT,0.9764051894596205
HCR<->IGH,HCR,IGH,0.9754030050437363
AGA<->LIFR,AGA,LIFR,0.9718615677721798
PKM<->SRC,PKM,SRC,0.9703154409896736
ARNT<->UCN,ARNT,UCN,0.9632271213197157
SCT<->YWHAE,SCT,YWHAE,0.9628621243480971
CISH<->NANOG,CISH,NANOG,0.9627180341002493
BRAF<->CPE,BRAF,CPE,0.962284603826085
BRAF<->SPOP,BRAF,SPOP,0.9601313587532098
APP<->POLE,APP,POLE,0.9600940232518254
BRAF<->HTERT,BRAF,HTERT,0.9595905714844294
CROP<->HEEL,CROP,HEEL,0.9588904297630274
DTL<->SRC,DTL,SRC,0.9579314873359117
ATM<->POLE,ATM,POLE,0.9577704306581252
ABAT<->POLI,ABAT,POLI,0.9575623052804931
CISH<->DAP,CISH,DAP,0.9572353702886811
ARNT<->CPE,ARNT,CPE,0.9541729207607528
FEV<->LUM,FEV,LUM,0.9539568800070777
BAK<->PTEN,BAK,PTEN,0.9533081842860273
DBT<->GAG,DBT,GAG,0.9530001969452379
MYB<->PRL,MYB,PRL,0.9526843288128305
CISH<->HCR,CISH,HCR,0.9520318043139728
BRAF<->HCR,BRAF,HCR,0.9509139134374467
CLOCK<->GAPD,CLOCK,GAPD,0.9500429716398519
GCA<->YWHAE,GCA,YWHAE,0.9492086626502844
BRAF<->IGH,BRAF,IGH,0.946928509767283
CIC<->GDA,CIC,GDA,0.9468935265607428
BRAF<->NANOG,BRAF,NANOG,0.9468111891983645
POLE<->XK,POLE,XK,0.9466007450542862
GAG<->LUM,GAG,LUM,0.9435952835796775
EPO<->YWHAE,EPO,YWHAE,0.9432262489833207
BAX<->SUFU,BAX,SUFU,0.9423842991721028
CISH<->UCN,CISH,UCN,0.94171415690463
DTL<->PKM,DTL,PKM,0.940629481242698
SPOP<->TTK,SPOP,TTK,0.9400627684035798
CPE<->HCR,CPE,HCR,0.9386132540812828
IGHD<->LAR,IGHD,LAR,0.9385933011957042
DAP<->LRP,DAP,LRP,0.938172175876742
MTOR<->UCN,MTOR,UCN,0.9375589291348526
FEV<->GGT,FEV,GGT,0.9367933424061848
ARCH<->GCG,ARCH,GCG,0.9362538905930057
CCK<->KIT,CCK,KIT,0.9348208441255127
BF<->VH,BF,VH,0.9330570510042644
MLL<->POLI,MLL,POLI,0.9326515584358951
KY<->MLL,KY,MLL,0.930201339033357
LRP<->MGMT,LRP,MGMT,0.9298458472650684
APP<->BRAF,APP,BRAF,0.929821431418757
CPE<->NANOG,CPE,NANOG,0.9288760459838701
BAX<->EMD,BAX,EMD,0.9288739433454876
MTOR<->RHOA,MTOR,RHOA,0.9250353090046145
CPE<->UCN,CPE,UCN,0.9244991132878292
ARNT<->MTOR,ARNT,MTOR,0.9238970354001351
HTERT<->POLE,HTERT,POLE,0.9237250701494958
HGF<->KY,HGF,KY,0.9231569922850316
PAP<->SA,PAP,SA,0.9222918621554338
CPE<->SPOP,CPE,SPOP,0.921395307337921
GGT<->LUM,GGT,LUM,0.9209932683579591
ATM<->PALM,ATM,PALM,0.9197476790898967
HGF<->TTK,HGF,TTK,0.9192088557836818
AFP<->NOV,AFP,NOV,0.9177169015534128
LUM<->PURG,LUM,PURG,0.9173465764545936
APP<->XK,APP,XK,0.9170557228128072
EPO<->MYB,EPO,MYB,0.9170529868942884
PURG<->RET,PURG,RET,0.9170428093985433
HTERT<->TTK,HTERT,TTK,0.9170178915054283
CPM<->MBP,CPM,MBP,0.9166776988919892
APP<->CPE,APP,CPE,0.9160112197659884
GAL<->TRE,GAL,TRE,0.9140782453321876
GCG<->IGHD,GCG,IGHD,0.9129222802450907
PALM<->TTK,PALM,TTK,0.9125350624584088
CISH<->CPE,CISH,CPE,0.9123453734013309
CISH<->IGH,CISH,IGH,0.9121698582717659
ABAT<->AFP,ABAT,AFP,0.9118395511492778
OAT<->SCT,OAT,SCT,0.9109834298572704
PREB<->TYR,PREB,TYR,0.910319795550195
OAT<->YWHAE,OAT,YWHAE,0.9098597333164401
CPM<->VH,CPM,VH,0.9091427539671421
BRAF<->POLE,BRAF,POLE,0.9089782437455078
HEEL<->PRL,HEEL,PRL,0.9083580797657327
FEV<->GAG,FEV,GAG,0.9083090872242251
AFP<->MYB,AFP,MYB,0.9079018922151434
LRP<->TANK,LRP,TANK,0.9077453226098812
MLL<->PALM,MLL,PALM,0.9068054817592457
EPO<->GCA,EPO,GCA,0.9064033269302155
RAGE<->RET,RAGE,RET,0.9061300969560752
GCA<->OAT,GCA,OAT,0.9056393658940395
EPO<->SCT,EPO,SCT,0.9052215214277685
ABAT<->KY,ABAT,KY,0.9044908834527957
POLE<->SPOP,POLE,SPOP,0.9040476657587713
DAP<->TANK,DAP,TANK,0.903938248837393
CPE<->MTOR,CPE,MTOR,0.9030909493794388
INA<->MMD,INA,MMD,0.9030333752812472
GAL<->TYR,GAL,TYR,0.9028543501390397
CISH<->TANK,CISH,TANK,0.9021642417818821
ARNT<->TANK,ARNT,TANK,0.9008676503894687
EGF<->HLA,EGF,HLA,0.9008087773332455
DBT<->GAPD,DBT,GAPD,0.9004613492063919
HGF<->PALM,HGF,PALM,0.8991433654093148
ARNT<->CISH,ARNT,CISH,0.8989814139130595
PAP<->STRAP,PAP,STRAP,0.898611640751233
ATM<->HTERT,ATM,HTERT,0.8974483219223489
GAL<->MBP,GAL,MBP,0.8972606167806623
HCR<->UCN,HCR,UCN,0.8967939265636719
PURG<->YWHAE,PURG,YWHAE,0.8965033319855111
HGF<->MLL,HGF,MLL,0.8962873685127077
DAP<->NANOG,DAP,NANOG,0.8960010510917621
GGT<->PURG,GGT,PURG,0.8959187803975401
